he,him,his,i,me,my,our,she,theirs,them,they,us,we,you
0.16620241411327763,0.003714020427112349,0.028783658310120707,0.744661095636026,0.0733519034354689,0.016713091922005572,0.013927576601671309,0.002785515320334262,0.0009285051067780873,0.0064995357474466105,0.012999071494893221,0.03899721448467967,0.04828226555246054,0.057567316620241414
0.1870689655172414,0.0,0.009482758620689655,0.6732758620689655,0.05517241379310345,0.020689655172413793,0.026724137931034484,0.0008620689655172414,0.0,0.0017241379310344827,0.009482758620689655,0.0353448275862069,0.04396551724137931,0.04482758620689655
0.21300813008130082,0.0,0.01951219512195122,0.7471544715447155,0.07642276422764227,0.012195121951219513,0.012195121951219513,0.0,0.0,0.007317073170731708,0.01707317073170732,0.028455284552845527,0.05609756097560976,0.055284552845528454
0.19399141630901287,0.0,0.017167381974248927,0.7424892703862661,0.055793991416309016,0.002575107296137339,0.01888412017167382,0.0008583690987124463,0.0,0.005150214592274678,0.039484978540772535,0.03261802575107296,0.05665236051502146,0.05321888412017167
0.198299188248937,0.002705836876691148,0.017394665635871664,0.7464244298415152,0.08272129880170082,0.009663703131039814,0.01507537688442211,0.004252029377657518,0.0,0.008117510630073444,0.01662156938538848,0.0363355237727097,0.07460378817162737,0.03594897564746811
0.19186263531168346,0.0,0.011571481896229937,0.6536020903322135,0.06382978723404255,0.01866368047779022,0.023889511011571482,0.0029861888764464353,0.0,0.003732736095558044,0.014184397163120567,0.03172825681224337,0.06382978723404255,0.033221351250466595
0.21998247151621383,0.0056967572304995615,0.017090271691498685,0.7256792287467134,0.06660823838737949,0.010078878177037686,0.015775635407537247,0.006134969325153374,0.0,0.006573181419807186,0.021034180543382998,0.03067484662576687,0.08501314636283962,0.02322524101665206
0.21428571428571427,0.003205128205128205,0.029304029304029304,0.8434065934065934,0.06456043956043957,0.016025641025641024,0.016483516483516484,0.0004578754578754579,0.0004578754578754579,0.003663003663003663,0.022893772893772892,0.03891941391941392,0.04212454212454213,0.03571428571428571
0.2430503380916604,0.003005259203606311,0.021412471825694966,0.7280240420736288,0.0638617580766341,0.009015777610818933,0.0101427498121713,0.0015026296018031556,0.0,0.007513148009015778,0.01314800901577761,0.04808414725770098,0.07588279489105935,0.04019534184823441
0.199928850942725,0.004980434009249377,0.020277481323372464,0.7225186766275347,0.05336179295624333,0.020277481323372464,0.023479188900747065,0.001422981145499822,0.0,0.007114905727499111,0.011739594450373533,0.044823906083244394,0.08039843472073994,0.02703664176449662
0.19793322734499205,0.0027821939586645467,0.017090620031796504,0.6875993640699523,0.06915739268680444,0.01192368839427663,0.019475357710651828,0.0,0.0,0.006756756756756757,0.009141494435612083,0.029809220985691574,0.0679650238473768,0.017885532591414944
0.19795330988167573,0.0019187719859290054,0.018228333866325552,0.6955548448992644,0.07707067476814838,0.01311160857051487,0.00927406459865686,0.0006395906619763352,0.0,0.002878157978893508,0.01598976654940838,0.030060761112887753,0.06811640550047969,0.05340582027502398
0.18251719951436665,0.0024281667341157424,0.021853500607041682,0.6843383245649535,0.060704168352893564,0.00971266693646297,0.018211250505868068,0.003237555645487657,0.0,0.007689194658033185,0.013759611493322542,0.05503844597329017,0.09955483609874545,0.04451639012545528
0.16276276276276277,0.002702702702702703,0.016216216216216217,0.7045045045045045,0.06396396396396396,0.007807807807807808,0.021621621621621623,0.013813813813813814,0.0,0.012012012012012012,0.036036036036036036,0.058258258258258255,0.07087087087087086,0.07717717717717718
0.17857142857142858,0.0026346604215456673,0.02429742388758782,0.6937939110070258,0.05357142857142857,0.006440281030444965,0.009074941451990632,0.009660421545667448,0.0,0.004391100702576112,0.012002341920374707,0.04449648711943794,0.054156908665105384,0.03834894613583138
0.18777901785714285,0.0011160714285714285,0.025390625,0.7179129464285714,0.076171875,0.013950892857142858,0.016183035714285716,0.006138392857142857,0.0,0.0033482142857142855,0.011160714285714286,0.04213169642857143,0.062220982142857144,0.03376116071428571
0.18789584799437017,0.003518648838845883,0.03589021815622801,0.6959887403237157,0.05348346235045742,0.011963406052076003,0.011963406052076003,0.0007037297677691766,0.0,0.014778325123152709,0.028149190710767064,0.05629838142153413,0.05489092188599578,0.08233638282899367
0.18396226415094338,0.0031446540880503146,0.019654088050314465,0.7059748427672956,0.07232704402515723,0.003930817610062893,0.04009433962264151,0.003930817610062893,0.0,0.015723270440251572,0.03459119496855346,0.050314465408805034,0.08018867924528301,0.029874213836477988
0.2074074074074074,0.0008230452674897119,0.03621399176954732,0.8,0.05432098765432099,0.00411522633744856,0.009876543209876543,0.0032921810699588477,0.0,0.014814814814814815,0.02962962962962963,0.060905349794238686,0.08148148148148149,0.040329218106995884
0.16732751784298175,0.0031720856463124504,0.01506740681998414,0.7430610626486915,0.07930214115781126,0.011895321173671689,0.02696272799365583,0.0007930214115781126,0.0,0.014274385408406027,0.034892942109436956,0.061855670103092786,0.11578112609040445,0.056304520222045996
0.21442495126705652,0.001949317738791423,0.031189083820662766,0.6900584795321637,0.08382066276803118,0.009746588693957114,0.017543859649122806,0.005847953216374269,0.0,0.011695906432748537,0.01949317738791423,0.07212475633528265,0.0935672514619883,0.03898635477582846
