is,have,'s,do,are
0.02042711234911792,0.011142061281337047,0.0,0.014856081708449397,0.022284122562674095
0.02327586206896552,0.011206896551724138,0.0,0.011206896551724138,0.01206896551724138
0.01951219512195122,0.027642276422764227,0.0,0.005691056910569106,0.008130081300813009
0.024892703862660945,0.026609442060085836,0.0,0.01888412017167382,0.019742489270386267
0.028991109393119444,0.02705836876691148,0.0,0.013915732508697333,0.01662156938538848
0.030235162374020158,0.015677491601343786,0.0,0.007465472191116088,0.011571481896229937
0.022787028921998246,0.020157756354075372,0.0,0.010078878177037686,0.015775635407537247
0.03571428571428571,0.027472527472527472,0.0,0.012362637362637362,0.017857142857142856
0.028925619834710745,0.024793388429752067,0.0,0.018782870022539443,0.0101427498121713
0.03379580220562078,0.016364283173247954,0.0,0.008893632159373888,0.008182141586623977
0.013513513513513514,0.022655007949125595,0.0,0.01192368839427663,0.013513513513513514
0.020147105852254557,0.025903421810041575,0.0,0.0063959066197633516,0.012152222577550368
0.023067583974099554,0.0339943342776204,0.0,0.019020639417239985,0.01537838931606637
0.022822822822822823,0.04354354354354354,0.0,0.016516516516516516,0.016816816816816817
0.02429742388758782,0.01405152224824356,0.0,0.013466042154566744,0.007611241217798595
0.024832589285714284,0.015904017857142856,0.0,0.006975446428571429,0.009207589285714286
0.04011259676284307,0.017593244194229415,0.0,0.01618578465869106,0.011963406052076003
0.041666666666666664,0.03223270440251572,0.0,0.0220125786163522,0.01729559748427673
0.044444444444444446,0.03292181069958848,0.0,0.01728395061728395,0.019753086419753086
0.030927835051546393,0.02775574940523394,0.0,0.019825535289452814,0.020618556701030927
0.056530214424951264,0.021442495126705652,0.0,0.017543859649122806,0.009746588693957114
0.021696252465483234,0.047337278106508875,0.0,0.011834319526627219,0.013806706114398421
0.03409090909090909,0.024350649350649352,0.0,0.00487012987012987,0.01461038961038961
0.03684210526315789,0.028421052631578948,0.0,0.01368421052631579,0.01368421052631579
0.030269058295964126,0.02242152466367713,0.0,0.011210762331838564,0.008968609865470852
0.059880239520958084,0.029940119760479042,0.0,0.03293413173652695,0.041916167664670656
0.013559322033898305,0.020338983050847456,0.0,0.006779661016949152,0.010169491525423728
0.04896421845574388,0.030131826741996232,0.0,0.026365348399246705,0.011299435028248588
0.05569620253164557,0.02531645569620253,0.0,0.017721518987341773,0.02531645569620253
0.036390101892285295,0.050946142649199416,0.0,0.017467248908296942,0.004366812227074236
0.04063604240282685,0.02120141342756184,0.0,0.0035335689045936395,0.026501766784452298
0.02973977695167286,0.03345724907063197,0.0,0.01858736059479554,0.007434944237918215
0.035416666666666666,0.03125,0.0,0.008333333333333333,0.014583333333333334
