.,ADJ,ADP,ADV,CONJ,DET,NOUN,NUM,PRON,PRT,VERB,X
0.11052631578947368,0.07333333333333333,0.11333333333333333,0.04982456140350877,0.025964912280701753,0.09263157894736843,0.2031578947368421,0.011578947368421053,0.07964912280701754,0.03368421052631579,0.20526315789473684,0.0010526315789473684
0.10785619174434088,0.08455392809587217,0.09420772303595207,0.03861517976031957,0.030958721704394142,0.09254327563249001,0.2097203728362184,0.007989347536617843,0.08055925432756325,0.044274300932090546,0.20639147802929428,0.002330226364846871
0.1003030303030303,0.0803030303030303,0.10212121212121213,0.04303030303030303,0.03515151515151515,0.10454545454545454,0.21424242424242423,0.00909090909090909,0.07757575757575758,0.03666666666666667,0.19666666666666666,0.00030303030303030303
0.1098014888337469,0.07040942928039702,0.09429280397022333,0.06265508684863523,0.03287841191066997,0.09181141439205956,0.18331265508684863,0.008374689826302729,0.08684863523573201,0.04683622828784119,0.21122828784119108,0.0015508684863523574
0.1146968426934898,0.06258731489242805,0.09779267951941883,0.057418273260687346,0.03101424979044426,0.09262363788767812,0.19572506286672256,0.014249790444258172,0.0857781503213188,0.03883766415199776,0.20885722268790166,0.00041911148365465214
0.10877919006798699,0.06828258941767662,0.09222583505764115,0.047443097842151935,0.031185338456990837,0.09503399349689624,0.2141590304463494,0.012415016257759386,0.07921962754951227,0.04552172627845108,0.20543895950339935,0.0002955956251847473
0.11804767309875142,0.07588778984919733,0.0904815955894276,0.060158910329171394,0.04183557645532674,0.10588616831522621,0.1979892978757905,0.009080590238365494,0.07410410248094698,0.03275498621696125,0.19247608237392574,0.0012972271769093563
0.09185498292960494,0.061128271825719394,0.11461550967322387,0.061128271825719394,0.03316533896927329,0.11364005852706877,0.1978540074784588,0.013168590473093806,0.07478458787189075,0.034140790115428386,0.2035441391643635,0.0009754511461550967
0.11277192045909516,0.0656612838649406,0.09568931002268784,0.0627252101961831,0.03549979981315895,0.10156145736020286,0.18951020952889364,0.01187775256906446,0.07874015748031496,0.04057119978646737,0.20405711997864673,0.0013345789403443214
0.11160774752810511,0.07124475145604768,0.08980089394555059,0.05174048489773805,0.03033997020181498,0.09129080319653257,0.18894758228362454,0.008262224028172829,0.09223892726533929,0.040092103480969796,0.22375728023838548,0.0006772314777190844
0.10107858243451463,0.07765793528505392,0.1,0.05701078582434515,0.03559322033898305,0.08721109399075501,0.20647149460708783,0.016178736517719568,0.07935285053929121,0.03975346687211094,0.19969183359013867,0.0
0.1191782420917474,0.06174857009454885,0.08474378428854909,0.05918057663125948,0.03583518151044707,0.09244776467841719,0.2020543947706315,0.019143223999066185,0.08661141589821408,0.03303373409594958,0.2035718454534843,0.002451266487685304
0.1190749784544671,0.06937661591496697,0.09264579143924159,0.06363114047687446,0.03418557885665039,0.08216029876472278,0.17710428037920137,0.011347313990232692,0.09408216029876472,0.03863832232117208,0.21689169778799194,0.0008618213157138753
0.13695090439276486,0.06658715961041542,0.08447624726694494,0.07036374478234943,0.036076326774001195,0.07652554164182071,0.16209501093222023,0.012522361359570662,0.10345855694692904,0.0312065195786126,0.21874378851123036,0.0009938382031405286
0.11194547134935305,0.07982902033271719,0.08872458410351201,0.0561460258780037,0.03997227356746765,0.0862985212569316,0.2081792975970425,0.009704251386321626,0.08156192236598891,0.033271719038817,0.20367375231053605,0.0006931608133086876
0.11042412409155006,0.07809957696062479,0.09773294283544853,0.05315110098709187,0.03427703655494088,0.10098709187547457,0.22041436164442998,0.006182883176049463,0.0721336370539104,0.03416856492027335,0.19156090682286583,0.0008677730773402755
0.11438474870017332,0.05496410002475861,0.08541718247090864,0.05224065362713543,0.024015845506313444,0.08541718247090864,0.17850953206239167,0.010893785590492696,0.10175786085664769,0.052735825699430555,0.23743500866551126,0.0022282743253280515
0.11623303167420815,0.06787330316742081,0.09643665158371041,0.057692307692307696,0.039875565610859726,0.08823529411764706,0.18891402714932126,0.00904977375565611,0.09021493212669683,0.039875565610859726,0.20361990950226244,0.0019796380090497737
0.10406232609905398,0.05564830272676683,0.10294936004451864,0.06176961602671119,0.036449638286032274,0.10851419031719532,0.18141346688925988,0.0025041736227045075,0.08736783528102393,0.04257095158597663,0.216471897607123,0.0002782415136338342
0.09594383775351015,0.06058242329693188,0.09308372334893396,0.061102444097763914,0.037701508060322415,0.07722308892355695,0.15678627145085802,0.008060322412896516,0.12168486739469579,0.05122204888195528,0.23634945397815912,0.00026001040041601667
0.11476466795615732,0.05738233397807866,0.10831721470019343,0.059961315280464215,0.038039974210186976,0.0915538362346873,0.18052869116698905,0.005802707930367505,0.0973565441650548,0.03868471953578337,0.2076079948420374,0.0
0.14993215739484397,0.05495251017639077,0.07937584803256445,0.06309362279511534,0.032564450474898234,0.09769335142469471,0.16621438263229307,0.013568521031207599,0.09158751696065129,0.036635006784260515,0.2130257801899593,0.0013568521031207597
