i,people,president,senator,country,question,time,governor,states,years
0.0,0.007428040854224698,0.009285051067780872,0.0018570102135561746,0.003714020427112349,0.003714020427112349,0.004642525533890436,0.009285051067780872,0.0018570102135561746,0.0064995357474466105
0.0,0.013793103448275862,0.013793103448275862,0.002586206896551724,0.006896551724137931,0.0034482758620689655,0.0034482758620689655,0.005172413793103448,0.005172413793103448,0.0008620689655172414
0.0,0.00894308943089431,0.00894308943089431,0.0016260162601626016,0.0032520325203252032,0.0016260162601626016,0.004878048780487805,0.0024390243902439024,0.011382113821138212,0.0008130081300813008
0.0,0.0068669527896995704,0.004291845493562232,0.0008583690987124463,0.0008583690987124463,0.002575107296137339,0.0017167381974248926,0.0017167381974248926,0.0034334763948497852,0.004291845493562232
0.0,0.01662156938538848,0.02705836876691148,0.0011596443757247777,0.006571318129107074,0.0023192887514495554,0.003865481252415926,0.0,0.004638577502899111,0.004638577502899111
0.0,0.015677491601343786,0.0014930944382232176,0.0026129152668906306,0.004479283314669653,0.0003732736095558044,0.001866368047779022,0.0011198208286674132,0.003732736095558044,0.004479283314669653
0.0,0.013146362839614373,0.012708150744960562,0.0,0.0026292725679228747,0.003943908851884312,0.003067484662576687,0.0,0.003067484662576687,0.0026292725679228747
0.0,0.013736263736263736,0.01510989010989011,0.0,0.01510989010989011,0.0009157509157509158,0.003663003663003663,0.0,0.0013736263736263737,0.005952380952380952
0.0,0.008640120210368144,0.030803906836964687,0.0007513148009015778,0.0033809166040570998,0.0011269722013523666,0.002253944402704733,0.0,0.0067618332081141996,0.004883546205860256
0.0,0.011028103877623622,0.004624688722874422,0.001422981145499822,0.004624688722874422,0.0010672358591248667,0.004624688722874422,0.0,0.0010672358591248667,0.001422981145499822
0.0,0.01192368839427663,0.003577106518282989,0.018680445151033388,0.00397456279809221,0.0,0.0023847376788553257,0.000794912559618442,0.00397456279809221,0.009141494435612083
0.0,0.02078669651423089,0.02110649184521906,0.002238567316917173,0.0012791813239526704,0.0012791813239526704,0.003837543971858011,0.0012791813239526704,0.003837543971858011,0.004796929964822514
0.0,0.012950222581950627,0.0028328611898017,0.0004046944556859571,0.006070416835289356,0.0016187778227438284,0.0024281667341157424,0.0,0.0028328611898017,0.003237555645487657
0.0,0.010810810810810811,0.003303303303303303,0.0,0.015915915915915915,0.0015015015015015015,0.004204204204204204,0.0,0.0015015015015015015,0.007207207207207207
0.0,0.0055620608899297425,0.00585480093676815,0.0014637002341920376,0.002927400468384075,0.0014637002341920376,0.001756440281030445,0.011124121779859485,0.004098360655737705,0.002927400468384075
0.0,0.010602678571428572,0.004464285714285714,0.012276785714285714,0.005580357142857143,0.0030691964285714285,0.004743303571428571,0.0011160714285714285,0.006696428571428571,0.001953125
0.0,0.011259676284306826,0.012667135819845179,0.003518648838845883,0.0007037297677691766,0.0014074595355383533,0.00422237860661506,0.0,0.0014074595355383533,0.00422237860661506
0.0,0.006289308176100629,0.00550314465408805,0.0,0.0047169811320754715,0.0007861635220125787,0.003930817610062893,0.0015723270440251573,0.003930817610062893,0.0023584905660377358
