not,n't,now,so,just,here,well,up,very,out
0.014856081708449397,0.0,0.003714020427112349,0.005571030640668524,0.005571030640668524,0.005571030640668524,0.004642525533890436,0.003714020427112349,0.002785515320334262,0.0009285051067780873
0.016379310344827588,0.0,0.0008620689655172414,0.013793103448275862,0.0017241379310344827,0.0034482758620689655,0.00603448275862069,0.0034482758620689655,0.002586206896551724,0.004310344827586207
0.008130081300813009,0.0,0.0040650406504065045,0.0024390243902439024,0.0016260162601626016,0.0016260162601626016,0.004878048780487805,0.005691056910569106,0.005691056910569106,0.005691056910569106
0.018025751072961373,0.0,0.006008583690987125,0.012875536480686695,0.0034334763948497852,0.0034334763948497852,0.002575107296137339,0.007725321888412017,0.00944206008583691,0.01201716738197425
0.017008117510630073,0.0,0.011596443757247778,0.006957866254348666,0.006957866254348666,0.004252029377657518,0.003865481252415926,0.009277155005798222,0.003478933127174333,0.006571318129107074
0.01269130272489735,0.0,0.004106009705113848,0.00933184023889511,0.005225830533781261,0.004479283314669653,0.003732736095558044,0.004106009705113848,0.0026129152668906306,0.004479283314669653
0.011393514460999123,0.0,0.0035056967572304996,0.013146362839614373,0.0043821209465381246,0.0013146362839614374,0.007011393514460999,0.0052585451358457495,0.007887817703768623,0.009640666082383873
0.03159340659340659,0.0,0.006868131868131868,0.007326007326007326,0.007783882783882784,0.0018315018315018315,0.004120879120879121,0.005494505494505495,0.006868131868131868,0.004120879120879121
0.015777610818933134,0.0,0.011269722013523666,0.003756574004507889,0.007513148009015778,0.004132231404958678,0.003005259203606311,0.002629601803155522,0.003005259203606311,0.009391435011269721
0.012806830309498399,0.0,0.004980434009249377,0.010672358591248666,0.004980434009249377,0.0010672358591248667,0.004980434009249377,0.003913198150124511,0.0024902170046246885,0.0032017075773745998
0.008744038155802861,0.0,0.006756756756756757,0.006359300476947536,0.005564387917329093,0.001589825119236884,0.00794912559618442,0.005564387917329093,0.00397456279809221,0.007154213036565978
0.013751199232491206,0.0,0.007675087943716022,0.00927406459865686,0.0063959066197633516,0.002238567316917173,0.00799488327470419,0.006076111288775184,0.003837543971858011,0.009593859929645027
0.016187778227438283,0.0,0.004046944556859571,0.016187778227438283,0.006475111290975314,0.0020234722784297854,0.014569000404694455,0.004856333468231485,0.004856333468231485,0.0056657223796034
0.015015015015015015,0.0,0.006306306306306306,0.014114114114114115,0.011711711711711712,0.0018018018018018018,0.006606606606606606,0.0045045045045045045,0.021021021021021023,0.007807807807807808
0.01288056206088993,0.0,0.00351288056206089,0.010831381733021077,0.00819672131147541,0.004976580796252928,0.004098360655737705,0.0038056206088992973,0.00702576112412178,0.00351288056206089
0.008091517857142858,0.0,0.004185267857142857,0.004464285714285714,0.009486607142857142,0.0033482142857142855,0.008649553571428572,0.0030691964285714285,0.004743303571428571,0.007533482142857143
0.019704433497536946,0.0,0.003518648838845883,0.0049261083743842365,0.009852216748768473,0.011963406052076003,0.0049261083743842365,0.007037297677691766,0.00211118930330753,0.009148486980999296
0.02279874213836478,0.0,0.00550314465408805,0.007861635220125786,0.008647798742138365,0.007075471698113208,0.0015723270440251573,0.0023584905660377358,0.00550314465408805,0.007075471698113208
