is,have,'s,do,are,be,'re,was,going,think
0.02042711234911792,0.011142061281337047,0.0,0.014856081708449397,0.022284122562674095,0.02135561745589601,0.0,0.009285051067780872,0.013927576601671309,0.022284122562674095
0.02327586206896552,0.011206896551724138,0.0,0.011206896551724138,0.01206896551724138,0.020689655172413793,0.0,0.004310344827586207,0.008620689655172414,0.010344827586206896
0.01951219512195122,0.027642276422764227,0.0,0.005691056910569106,0.008130081300813009,0.013008130081300813,0.0,0.007317073170731708,0.00894308943089431,0.00975609756097561
0.024892703862660945,0.026609442060085836,0.0,0.01888412017167382,0.019742489270386267,0.015450643776824034,0.0,0.005150214592274678,0.012875536480686695,0.008583690987124463
0.028991109393119444,0.02705836876691148,0.0,0.013915732508697333,0.01662156938538848,0.011596443757247778,0.0,0.008504058755315036,0.010823347506764593,0.009277155005798222
0.030235162374020158,0.015677491601343786,0.0,0.007465472191116088,0.011571481896229937,0.009705113848450915,0.0,0.008958566629339306,0.004479283314669653,0.006718924972004479
0.022787028921998246,0.020157756354075372,0.0,0.010078878177037686,0.015775635407537247,0.0052585451358457495,0.0,0.016652059596844872,0.008326029798422436,0.014022787028921999
0.03571428571428571,0.027472527472527472,0.0,0.012362637362637362,0.017857142857142856,0.01510989010989011,0.0,0.018772893772893772,0.007783882783882784,0.011446886446886446
0.028925619834710745,0.024793388429752067,0.0,0.018782870022539443,0.0101427498121713,0.011269722013523666,0.0,0.01314800901577761,0.0101427498121713,0.008640120210368144
0.03379580220562078,0.016364283173247954,0.0,0.008893632159373888,0.008182141586623977,0.015297047314123088,0.0,0.013874066168623266,0.008537886872998933,0.009249377445748844
0.013513513513513514,0.022655007949125595,0.0,0.01192368839427663,0.013513513513513514,0.013116057233704292,0.0,0.01232114467408585,0.0043720190779014305,0.01232114467408585
0.020147105852254557,0.025903421810041575,0.0,0.0063959066197633516,0.012152222577550368,0.014070994563479372,0.0,0.011512631915574032,0.011512631915574032,0.011192836584585865
0.023067583974099554,0.0339943342776204,0.0,0.019020639417239985,0.01537838931606637,0.02387697288547147,0.0,0.014164305949008499,0.010926750303520841,0.01537838931606637
0.022822822822822823,0.04354354354354354,0.0,0.016516516516516516,0.016816816816816817,0.015615615615615615,0.0,0.02072072072072072,0.013513513513513514,0.011411411411411412
0.02429742388758782,0.01405152224824356,0.0,0.013466042154566744,0.007611241217798595,0.014344262295081968,0.0,0.01727166276346604,0.00585480093676815,0.005269320843091335
0.024832589285714284,0.015904017857142856,0.0,0.006975446428571429,0.009207589285714286,0.011439732142857142,0.0,0.012276785714285714,0.011997767857142858,0.0033482142857142855
