sentiment,year
0.13974166666666668,2000
0.3118333333333334,2000
0.26310481927710844,2000
0.14301805555555555,2000
0.2926000000000001,2004
0.49923977272727293,2004
0.56005,1984
0.1844111111111111,1984
-0.02540212765957447,2004
0.21741272727272729,2004
0.20876129032258064,1996
0.28480338983050846,1996
0.09831062500000001,2016
0.04595991561181435,2016
0.06803560606060599,2016
0.16668148148148143,2016
-0.15854225352112666,2015
-0.00447297297297298,2015
0.03234727272727273,2015
-0.021732727272727258,2015
0.38508518518518525,2007
0.037386363636363634,2007
0.24368437499999998,2007
0.292339534883721,2007
-0.05818510638297873,2007
0.15265882352941176,2007
-0.23564705882352943,2007
0.375516,2007
0.04365294117647058,2011
0.29681071428571426,2011
0.1557666666666667,2011
-0.3773062499999999,2011
0.06568636363636365,2011
0.30696086956521734,2011
0.012609090909090903,2011
0.07986666666666666,2011
0.4429304347826087,1999
0.22460909090909098,1999
0.30760967741935485,1999
0.0327794964028777,2020
0.000629394812680117,2020
0.2896914285714286,2007
0.30642222222222215,2007
0.34543500000000005,2007
0.15979565217391306,2007
0.32563,2007
0.3044103448275862,2007
0.3765117647058823,2007
0.3612843137254902,2011
0.29731111111111114,2011
0.011575471698113201,2011
-0.07126136363636365,2011
0.2790666666666666,2011
0.5576066666666667,2000
0.5903758620689655,2000
0.2108614035087719,2011
0.08620612244897957,2011
0.06640392156862746,2011
0.17191100917431182,2011
0.1914415094339623,2011
0.17797352941176464,2011
0.05674909090909093,2011
-0.1978231884057971,2012
0.12347549019607838,2012
0.08876,2012
0.047213333333333316,2012
0.19895882352941174,2007
0.3556608695652174,2007
0.2648880952380953,2007
0.2795867924528301,2007
0.0874941176470588,2007
0.34694347826086963,2007
0.1802724137931035,2007
0.2794787878787879,2007
0.11772272727272727,2007
0.11997499999999998,2007
0.10749259259259258,1992
0.31130444444444444,1992
0.2730857142857143,1992
0.2570031746031746,2007
0.3134949999999999,2007
0.10812962962962963,2007
0.19099354838709676,2007
0.130275,2007
0.3211615384615385,2007
0.015394999999999992,2007
0.49150000000000005,2012
0.3246329670329671,2012
0.26663589743589733,2012
0.14501186440677966,2012
0.41931944444444436,2011
0.15620714285714282,2011
0.03275609756097562,2011
0.13642641509433961,2011
0.13213913043478262,2011
0.32073749999999995,2011
0.09311914893617021,2011
0.15697804878048774,1984
0.2594159292035398,2008
0.3752484374999999,2008
0.04434174757281553,2004
0.054968780487804854,2004
0.28763448275862064,2012
0.409259,2012
0.11495000000000004,2012
0.06043999999999998,2012
0.22656071428571425,2007
0.14193670886075943,2007
0.12961489361702128,2007
0.11994871794871798,2007
-0.15820416666666673,2007
0.19747500000000004,2007
0.015681250000000025,2007
0.19046000000000002,2011
0.26648235294117645,2011
-0.09996923076923074,2011
0.10928292682926827,2011
0.21936829268292687,2011
0.1185529411764706,2011
0.23849487179487183,2011
